feature,H,p,p_fdr,significativo_FDR,epsilon_squared
feature_1,74.52478043937475,6.140717085079899e-13,3.68443025104794e-12,True,0.532198243514998
feature_2,74.52478043937475,6.140717085079899e-13,3.68443025104794e-12,True,0.532198243514998
feature_3,65.69038049921329,3.523814189857255e-11,1.409525675942902e-10,True,0.4615230439937063
feature_4,62.45802287664873,1.5320775634601046e-10,4.596232690380314e-10,True,0.4356641830131898
feature_5,59.35032721184888,6.249741087287821e-10,1.499937860949077e-09,True,0.41080261769479104
feature_6,40.349429328732754,2.7575361879033983e-06,5.5150723758067965e-06,True,0.25879543462986204
feature_7,14.171411542207522,0.0774055990497888,0.0774055990497888,False,0.04937129233766018
feature_8,14.191291743463637,0.07691371637303883,0.0774055990497888,False,0.049530333947709095
feature_9,15.200690678084754,0.05535863808590947,0.0738115174478793,False,0.057605525424678033
feature_10,19.251165875672598,0.013572610987164467,0.0203589164807467,True,0.09000932700538078
feature_11,23.66432809497485,0.0026082521350130547,0.004471289374308094,True,0.1253146247597988
feature_12,14.314563172796113,0.07392600570923907,0.0774055990497888,False,0.050516505382368904
